Designator,Mid X,Mid Y,Rotation,Layer
J18,56.8104,-189.6024,90.0,top
J19,56.8104,-230.8165,90.0,top
J2,78.12,-352.6,270.0,top
J20,56.8104,-272.0024,90.0,top
J21,56.8104,-313.2024,90.0,top
J22,56.8063,-169.1059,90.0,top
J23,56.8063,-210.32,90.0,top
J24,56.8063,-251.5059,90.0,top
J25,56.8063,-292.7059,90.0,top
J26,64.3104,-127.8024,90.0,top
J27,63.9954,-418.2024,90.0,top
J28,64.3063,-107.3059,90.0,top
J29,63.9913,-397.7059,90.0,top
J30,71.2104,-210.2024,90.0,top
J31,71.2104,-251.4024,90.0,top
J32,71.2104,-292.5965,90.0,top
J33,71.2104,-333.8024,90.0,top
J34,71.2063,-189.7059,90.0,top
J35,71.2063,-230.9059,90.0,top
J36,71.2063,-272.1,90.0,top
J37,71.2063,-313.3059,90.0,top
R1,68.5,-179.6,180.0,top
R10,46.4,-370.5,180.0,top
R11,46.4,-372.3,180.0,top
R12,46.4,-374.1,180.0,top
R13,46.4,-375.9,180.0,top
R14,46.4,-377.7,180.0,top
R2,79.9,-183.7,0.0,top
R3,79.8625,-181.6,0.0,top
R4,79.9,-179.5,0.0,top
R5,79.9,-177.5,0.0,top
R6,79.9,-175.5,0.0,top
R7,79.9,-173.4,0.0,top
R8,79.9,-171.3,0.0,top
R9,54.9,-369.7,90.0,top
U10,78.4,-424.5,180.0,top
U4,61.2625,-147.75,180.0,top
U5,54.68,-199.58,180.0,top
U6,75.6,-303.4625,90.0,top
U8,73.9,-176.4,180.0,top
U9,51.7375,-376.665,0.0,top
