Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C2, C3, C4",CP_Radial_D18.0mm_P7.50mm,6,4700u,
"C10, C14, C9",1206,3,100n,
"C13, C7, C8",C_Rect_L24.0mm_W12.6mm_P22.50mm_MKT,3,10u,
C15,1206,1,10n,
"C16, C18, C20, C22",CP_Radial_D12.5mm_P5.00mm,4,1000u,
"C17, C19, C21, C23",CP_Radial_D10.0mm_P5.00mm,4,470u,
"C5, C6",CP_Elec_6.3x5.4,2,10u,
"D1, D2, D3, D4",D_DO-201AD_P15.24mm_Horizontal,4,1N5404,
"D10, D11, D12, D13, D14, D15",LED_Rectangular_W3.9mm_H1.8mm,6,LED,
"D5, D6",Diode_Bridge_32.0x5.6x17.0mm_P10.0mm_P7.5mm,2,GBJ2510,
"D7, D8, D9",D_SOD-123,3,1N4148,
"HS1, HS2, HS3",HSINK_HSE-B20380-040H,3,Heatsink,
J2,"TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",1,OUT_ANLG,
J3,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,MAINS_IN,
J4,"TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",1,Screw_Terminal_01x04,
J5,"TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal",1,T1_SEC,
J6,PinHeader_1x03_P2.54mm_Vertical,1,GND_LIFT,
J7,PinHeader_1x02_P2.54mm_Vertical,1,FAN1_12V,
J8,PinHeader_1x02_P2.54mm_Vertical,1,FAN2_12V,
J9,"TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",1,OUT_DIGI,
"L1, L2, L3, L4",L_Vishay_IHLP-5050,4,4.7u,
"R1, R2, R3",R_Axial_DIN0414_L11.9mm_D4.5mm_P20.32mm_Horizontal,3,1k,
"R10, R9",1206,2,1.5k,
"R11, R12",1206,2,100,
R13,1206,1,330,
R14,1206,1,820,
R15,1206,1,56k,
"R16, R17, R18, R19",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,0.33R,
R4,0805,1,10,
"R5, R6",1206,2,4.7k,
"R7, R8",1206,2,360,
SW2,SW_V80214MS02Q,1,V80212MS02Q,
TH1,C_Disc_D12.5mm_W5.0mm_P7.50mm,1,MF72-010D9,
TR2,AMGIS L01-63XX,1,Amgis L01-6320,
U1,TO-220-3_Vertical,1,LM317AT/NOPB,
U2,TO-220-3_Vertical,1,LM337T/NOPB,
U3,TO-220-3_Vertical,1,LD1117V33C,
U5,Converter_DCDC_XP_POWER_JTDxxxxxxx_THT,1,3v3 Mornsun URB4803LD-20WR3,
U6,MeanWell NID100,1,MeanWell NID-100-5,
U7,Converter_DCDC_XP_POWER_JTDxxxxxxx_THT,1,12v Mornsun URB2412LD-30WR3,
