Designator,Mid X,Mid Y,Rotation,Layer
C1,296.395,-125.8,0.0,top
C10,350.635,-112.73,90.0,top
C11,253.16722,-91.3,0.0,top
C12,253.16722,-112.1,0.0,top
C13,301.395,-101.8,0.0,top
C14,285.232502,-103.05,180.0,top
C15,152.00905,-100.071558,90.0,top
C16,140.035,-81.778959,90.0,top
C17,156.56,-80.83,90.0,top
C18,88.686041,-105.504999,0.0,top
C19,96.26,-118.23,90.0,top
C2,317.895,-125.8,0.0,top
C20,61.560001,-140.480002,270.0,top
C21,75.51,-131.005,270.0,top
C22,125.96,-84.305,0.0,top
C23,126.542323,-100.23,0.0,top
C3,296.41722,-147.05,0.0,top
C4,317.91722,-147.05,0.0,top
C5,376.95,-101.61,180.0,top
C6,376.95,-112.41,180.0,top
C7,366.835,-132.43,0.0,top
C8,366.835,-147.43,180.0,top
C9,337.145,-107.05,270.0,top
D1,250.395,-133.05,180.0,top
D10,356.805,-77.26125,180.0,top
D11,369.304999,-77.26125,180.0,top
D12,344.285001,-77.26125,180.0,top
D13,75.29,-77.3,180.0,top
D14,87.77,-77.299999,180.0,top
D15,100.269999,-77.299999,180.0,top
D2,264.645,-140.55,270.0,top
D3,272.895,-140.3,90.0,top
D4,281.645,-140.3,90.0,top
D5,237.145,-89.3,90.0,top
D6,160.135,-122.53,90.0,top
D7,319.394782,-95.944823,90.0,top
D8,352.513346,-106.917938,90.0,top
D9,267.151544,-102.690515,90.0,top
J10,145.66,-153.4,0.0,top
J2,339.415,-154.23,0.0,top
J3,182.54,-153.4,0.0,top
J4,219.185001,-153.55,0.0,top
J5,250.145,-153.55,0.0,top
J6,163.535,-100.53,180.0,top
J7,58.18,-158.405,90.0,top
J8,160.565,-158.33,90.0,top
J9,64.71,-85.55,270.0,top
L1,140.035,-97.078959,270.0,top
L2,73.51,-105.705,180.0,top
L3,61.06,-124.98,90.0,top
L4,109.81,-84.355,180.0,top
R1,332.895,-126.300001,90.0,top
R10,368.035,-82.26125,90.0,top
R11,343.015002,-82.26125,90.0,top
R12,74.019999,-82.299999,90.0,top
R13,86.520001,-82.299999,90.0,top
R14,99.019999,-82.299999,90.0,top
R15,136.25,-146.9175,270.0,top
R16,148.685,-97.48,90.0,top
R17,55.91,-105.335,270.0,top
R18,60.735,-105.155,270.0,top
R19,109.91,-97.28,0.0,top
R2,341.645,-126.300001,90.0,top
R3,253.055,-76.8,0.0,top
R4,155.25905,-99.984055,270.0,top
R5,333.3575,-92.55,0.0,top
R6,367.26,-103.73,0.0,top
R7,333.395,-95.73,180.0,top
R8,367.26,-106.98,180.0,top
R9,355.535,-82.261249,90.0,top
SW2,198.906238,-145.71093,0.0,top
TH1,182.156238,-135.01093,0.0,top
TR2,203.735,-102.63,180.0,top
U1,323.394999,-94.29,270.0,top
U2,356.509999,-105.27,270.0,top
U3,270.645,-101.8,270.0,top
U5,128.735,-119.455,0.0,top
U6,47.735,-126.615,180.0,top
U7,106.775,-146.88,0.0,top
