Designator,Mid X,Mid Y,Rotation,Layer
D1,122.7465,-65.6748,315.0,top
D10,121.7813,-56.2538,237.0,top
D11,122.4762,-55.353,228.0,top
D12,123.2995,-54.5677,219.0,top
D13,124.232,-53.916,211.0,top
D14,125.2524,-53.4127,202.0,top
D15,126.3372,-53.0697,193.0,top
D16,127.4614,-52.8946,185.0,top
D17,128.5991,-52.8917,176.0,top
D18,129.7242,-53.0608,167.0,top
D19,130.8108,-53.3982,158.0,top
D2,122.0054,-64.8116,306.0,top
D20,131.8338,-53.8961,150.0,top
D21,132.7697,-54.5429,141.0,top
D22,133.5971,-55.3239,132.0,top
D23,134.2967,-56.2211,124.0,top
D24,134.8527,-57.2138,115.0,top
D25,135.252,-58.2791,106.0,top
D26,135.4857,-59.3926,98.0,top
D27,135.5482,-60.5286,89.0,top
D28,135.4381,-61.661,80.0,top
D29,135.1581,-62.7637,71.0,top
D3,121.4033,-63.8462,298.0,top
D30,134.7145,-63.8114,63.0,top
D31,134.1175,-64.7799,54.0,top
D32,133.3808,-65.647,45.0,top
D4,120.9542,-62.8009,289.0,top
D5,120.6684,-61.6997,280.0,top
D6,120.5524,-60.5678,272.0,top
D7,120.609,-59.4315,263.0,top
D8,120.8368,-58.3168,254.0,top
D9,121.2306,-57.2494,245.0,top
J1,128.01,-69.9,270.0,bottom
J2,128.01,-49.4,270.0,bottom
R1,121.6797,-66.721,45.0,top
R10,120.5708,-55.4854,327.0,top
R11,121.3553,-54.3349,318.0,top
R12,122.3432,-53.3925,309.0,top
R13,123.4623,-52.6104,301.0,top
R14,124.6867,-52.0066,292.0,top
R15,125.9885,-51.5949,283.0,top
R16,127.3375,-51.3848,275.0,top
R17,128.7028,-51.3813,266.0,top
R18,130.0529,-51.5842,257.0,top
R19,131.3567,-51.9891,248.0,top
R2,120.7903,-65.6852,36.0,top
R20,132.5844,-52.5865,240.0,top
R21,133.7075,-53.3628,231.0,top
R22,134.7003,-54.3,222.0,top
R23,135.5399,-55.3766,214.0,top
R24,136.207,-56.5422,205.0,top
R25,136.6863,-57.8462,196.0,top
R26,136.9666,-59.1824,188.0,top
R27,137.0416,-60.5456,179.0,top
R28,136.9096,-61.9045,170.0,top
R29,136.5735,-63.2277,161.0,top
R3,120.0678,-64.5268,28.0,top
R30,136.0412,-64.4849,153.0,top
R31,135.3248,-65.6472,144.0,top
R32,134.4798,-66.621,135.0,top
R4,119.5289,-63.2723,19.0,top
R5,119.1859,-61.9509,10.0,top
R6,119.0467,-60.5927,2.0,top
R7,119.1146,-59.2291,353.0,top
R8,119.3812,-57.9228,344.0,top
R9,119.9335,-56.6545,335.0,top
U1,120.1,-63.7375,0.0,bottom
U2,120.1,-55.3375,180.0,bottom
U3,136.1,-55.3125,180.0,bottom
U4,136.1,-63.7375,0.0,bottom
